Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3,WT/rim15KO_C_T00_R1,WT/rim15KO_C_T00_R2,WT/rim15KO_C_T00_R3,WT/rim15KO_C_T06_R1,WT/rim15KO_C_T06_R2,WT/rim15KO_C_T06_R3,WT/rim15KO_C_T16_R1,WT/rim15KO_C_T16_R2,WT/rim15KO_C_T16_R3,WT/rim15KO_C_T30_R1,WT/rim15KO_C_T30_R2,WT/rim15KO_C_T30_R3,WT/rim15KO_P_T00_R1,WT/rim15KO_P_T00_R2,WT/rim15KO_P_T00_R3,WT/rim15KO_P_T06_R1,WT/rim15KO_P_T06_R2,WT/rim15KO_P_T06_R3,WT/rim15KO_P_T16_R1,WT/rim15KO_P_T16_R2,WT/rim15KO_P_T16_R3,WT/rim15KO_P_T30_R1,WT/rim15KO_P_T30_R2,WT/rim15KO_P_T30_R3
P53315,6-phosphogluconolactonase 4,SOL4,sp|P53315|SOL4_YEAST 6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOL4 PE=1 SV=1,1.2597,1.6944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1448,2.8121,1.606,1.2597,1.6424,NaN,NaN,NaN,NaN,1.124,NaN,NaN,1.1046,NaN,0.97238,0.56907,1.6424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6069,1.6739,2.8078,0.56907,1.6944,NaN,NaN,NaN,NaN,2.8225,NaN,NaN,3.6703,NaN,3.1859,0.438,0.95623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1631,0.6579,1.8174,0.438,1.0457735063739895,NaN,NaN,NaN,NaN,2.7754,NaN,NaN,2.7679,NaN,3.1131
P53313,Protein SDA1,SDA1,sp|P53313|SDA1_YEAST Protein SDA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SDA1 PE=1 SV=1,1.3181,1.2196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3181,0.95923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99806,0.95923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99806,1.2196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.87713,0.66791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.87713,1.4972077076252788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53312,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial",LSC2,"sp|P53312|SUCB_YEAST Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSC2 PE=1 SV=1",0.95539,1.0684,0.94017,2.7702,1.3807,2.6503,4.015,5.6559,2.8723,1.7069,3.5341,3.0807,0.95539,0.97751,0.94017,1.4018,1.4931,1.599,1.3151,1.3803,1.3885,1.3663,1.2841,1.3709,0.99153,0.97751,1.158,1.494,1.304,1.8436,1.5645,2.3383,1.6409,1.5024,1.5821,1.8153,0.99153,1.0684,1.158,1.7886,1.7619,1.7802,1.4905,1.4454,1.4972,1.4102,1.3843,1.3796,1.09,0.96139,1.1211,0.74604,0.77452,0.80048,0.4097,0.39649,0.58518,0.84632,0.46415,0.57355,1.09,1.040160600796763,1.1211,1.1686,1.1643476742155208,1.1079,1.107,1.1054731978023193,1.0585,1.0659,1.0235205011156374,0.92421
P53309,Clathrin coat assembly protein AP180B,YAP1802,sp|P53309|AP18B_YEAST Clathrin coat assembly protein AP180B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YAP1802 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53303,Zinc finger protein ZPR1,ZPR1,sp|P53303|ZPR1_YEAST Zinc finger protein ZPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZPR1 PE=1 SV=1,1.0445,1.045,1.1245,1.0448,1.1119,1.1495,1.2453,1.3274,1.0979,1.2032,1.2917,1.2292,1.0445,1.0071,1.1245,0.87566,0.8452,0.78306,0.72846,0.74675,0.67846,0.74681,0.67468,0.77459,1.0241,1.0071,1.1285,1.1451,1.0214,1.0698,1.089,1.0356,0.95186,1.0256,1.0324,1.1458,1.0241,1.045,1.1285,0.90476,0.87789,0.85567,0.80713,0.92773,0.80103,0.84171,0.94495,0.99183,1.0008,0.96175,1.0016,1.0323,1.009,0.96378,0.8669,0.84203,0.9966,0.90026,0.78654,1.0019,1.0008,1.0397712503249286,1.0016,1.0518,1.0789814415192058,1.0407,1.1318,1.2026602845494234,1.1021,1.2321,1.3138532688669329,1.245
P53301,Probable glycosidase CRH1,CRH1,sp|P53301|CRH1_YEAST Probable glycosidase CRH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CRH1 PE=1 SV=1,1.2178,1.0133,0.66972,NaN,NaN,2.2925,NaN,NaN,NaN,NaN,NaN,NaN,1.2178,1.0164,0.66972,NaN,NaN,NaN,NaN,1.0918,NaN,0.97119,NaN,NaN,1.1996,1.0164,0.70646,NaN,NaN,1.3328,NaN,NaN,NaN,NaN,NaN,NaN,1.1996,1.0133,0.70646,NaN,NaN,NaN,NaN,1.2213,NaN,0.80715,NaN,NaN,1.0107,0.97811,1.0511,NaN,NaN,0.89786,NaN,NaN,NaN,NaN,NaN,NaN,1.0107,1.0223798959217265,1.0511,NaN,NaN,NaN,NaN,1.3462211572117067,NaN,0.97129,NaN,NaN
P53299,Mitochondrial import inner membrane translocase subunit TIM13,TIM13,sp|P53299|TIM13_YEAST Mitochondrial import inner membrane translocase subunit TIM13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM13 PE=1 SV=1,1.1017,1.0816,1.239,1.6652,1.3504,1.5494,1.8663,1.5211,1.5911,1.8062,1.5518,1.4727,1.1017,1.0661,1.239,1.1716,1.1483,1.1287,1.1683,1.0592,0.96064,0.83676,0.91681,0.8737,1.0722,1.0661,1.0039,1.3977,1.1992,1.1018,1.1314,0.91787,0.98174,0.97411,1.1251,1.0243,1.0722,1.0816,1.0039,1.1444,1.3217,1.1341,1.0688,1.0076,0.82561,0.94716,0.9421,0.79,0.98108,1.0148,0.86137,0.82786,0.83627,0.81975,0.71085,0.7265,0.61741,0.86267,0.7425,0.68144,0.98108,0.9854158454867955,0.86137,0.93176,1.0273691131749816,0.92755,1.0209,0.9937394415184339,0.88588,1.1913,1.0134690030505418,0.82196
P53298,Central kinetochore subunit OKP1,OKP1,sp|P53298|CENPQ_YEAST Inner kinetochore subunit OKP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OKP1 PE=1 SV=1,NaN,0.82311,0.7455,NaN,NaN,1.3089,NaN,1.9133,NaN,1.3841,NaN,NaN,NaN,0.7307,0.7455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7307,0.67822,NaN,NaN,1.4174,NaN,0.93584,NaN,1.7688,NaN,NaN,NaN,0.82311,0.67822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88223,0.88923,NaN,NaN,1.1541,NaN,0.52658,NaN,1.3748,NaN,NaN,NaN,1.133491266449792,0.88923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53297,PAB1-binding protein 1,PBP1,sp|P53297|PBP1_YEAST PAB1-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PBP1 PE=1 SV=1,1.0316,1.0499,0.93962,1.2974,NaN,1.1214,NaN,NaN,1.1337,1.1399,NaN,NaN,1.0316,0.9946,0.93962,0.63918,0.9457,0.71871,0.39205,NaN,NaN,NaN,NaN,NaN,1.0435,0.9946,0.87809,1.0807,NaN,0.78051,NaN,NaN,0.52966,1.0871,NaN,NaN,1.0435,1.0499,0.87809,0.97015,1.3495,0.88349,0.70982,NaN,NaN,NaN,NaN,NaN,1.0653,1.0183,0.94171,0.71869,NaN,0.73074,NaN,NaN,0.81419,0.96083,NaN,NaN,1.0653,0.9820288716488265,0.94171,1.2136,1.4042379902545883,1.1989,1.5006,NaN,NaN,NaN,NaN,NaN
P53296,Alcohol O-acetyltransferase 2,ATF2,sp|P53296|ATF2_YEAST Alcohol O-acetyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATF2 PE=1 SV=1,1.0247,0.96286,0.99725,NaN,0.22925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0247,0.91152,0.99725,NaN,NaN,0.16539,NaN,NaN,NaN,NaN,NaN,NaN,0.95072,0.91152,1.1187,NaN,0.35962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95072,0.96286,1.1187,NaN,NaN,0.15187,NaN,NaN,NaN,NaN,NaN,NaN,0.97064,0.95993,1.1677,NaN,1.5047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.97064,1.041742627066557,1.1677,NaN,NaN,0.81019,NaN,NaN,NaN,NaN,NaN,NaN
P53295,Ribosome-interacting GTPase 2,RBG2,sp|P53295|RBG2_YEAST Ribosome-interacting GTPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBG2 PE=1 SV=1,1.0286,1.0452,0.93635,0.98541,1.0677,1.0013,1.1325,1.148,1.1552,1.1601,1.0495,1.1771,1.0286,1.0398,0.93635,0.86379,0.87171,0.8874,0.71949,0.76779,0.97216,0.69739,0.68069,0.76831,1.0503,1.0398,0.96037,0.96105,0.94738,0.8851,0.98916,0.80293,0.91025,0.99951,0.93041,1.031,1.0503,1.0452,0.96037,0.89908,0.86895,0.75012,0.74128,0.70085,0.67671,0.68334,0.82377,0.6833,1.0491,0.95638,1.0326,0.88312,0.92918,1.0186,0.89261,0.80867,0.90629,0.929,0.9452,0.9697,1.0491,1.0456094857692548,1.0326,1.0198,0.968710646130001,0.907,1.0156,0.8941344778254648,0.86903,1.0562,0.9553835865099838,0.89108
P53292,"37S ribosomal protein S35, mitochondrial",MRPS35,"sp|P53292|RT35_YEAST 37S ribosomal protein S35, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPS35 PE=1 SV=1",NaN,0.75939,0.84951,0.85765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60921,0.84951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60921,0.97364,0.94611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.75939,0.97364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99802,1.2095,1.5159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001983928177792,1.2095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53290,GTP-binding protein GTR2,GTR2,sp|P53290|GTR2_YEAST GTP-binding protein GTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTR2 PE=1 SV=1,0.88185,1.0173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88185,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1058,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1058,1.0173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1346,0.9786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1346,1.0218679746576742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53289,Protein phosphatase type 2A regulatory subunit RTS3,RTS3,sp|P53289|RTS3_YEAST Protein phosphatase type 2A regulatory subunit RTS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTS3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53283,Polyamine transporter 2,TPO2,sp|P53283|TPO2_YEAST Polyamine transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPO2 PE=1 SV=1,1.5597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53281,LAS seventeen-binding protein 1,LSB1,sp|P53281|LSB1_YEAST LAS seventeen-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSB1 PE=1 SV=1,1.1058,1.042,1.2124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1058,1.2423,1.2124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1853,1.2423,1.1407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1853,1.042,1.1407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0607,1.1848,0.92276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0607,0.8440243079000674,0.92276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53278,Uncharacterized protein YGR130C,YGR130C,sp|P53278|YG3A_YEAST Uncharacterized protein YGR130C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR130C PE=1 SV=1,0.88235,1.0811,0.88508,2.0149,2.0852,1.8291,2.8714,3.6922,2.5161,2.6787,3.3184,2.4218,0.88235,0.85799,0.88508,1.2547,1.0773,1.3367,0.91866,0.77878,0.81948,0.80121,0.64715,0.61611,1.0243,0.85799,0.88285,2.0215,1.2795,1.7936,2.0878,1.1954,1.915,2.2428,0.96634,2.2056,1.0243,1.0811,0.88285,1.5151,1.6881,1.5862,1.2045,1.5541,1.1765,1.3347,1.7615,1.1709,1.1129,0.82344,1.0234,1.0002,0.58417,1.0407,0.71883,0.3624,0.88833,0.88152,0.37269,0.88539,1.1129,1.214417565335665,1.0234,1.1803,1.5034880923743084,1.2261,1.433,2.015722636565209,1.5176,1.7712,2.464936281397126,1.6144
P53277,Pre-mRNA-splicing factor SYF2,SYF2,sp|P53277|SYF2_YEAST Pre-mRNA-splicing factor SYF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SYF2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53276,U3 small nucleolar RNA-associated protein 8,UTP8,sp|P53276|UTP8_YEAST U3 small nucleolar RNA-associated protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP8 PE=1 SV=1,0.99214,1.0807,0.91306,1.0974,0.97244,NaN,NaN,0.7575,0.80258,1.0886,NaN,NaN,0.99214,0.8523,0.91306,0.59123,NaN,0.63965,NaN,NaN,NaN,NaN,NaN,0.38833,0.92348,0.8523,1.001,0.94654,0.96156,NaN,NaN,0.98376,0.91338,1.2955,NaN,NaN,0.92348,1.0807,1.001,0.64899,NaN,0.76214,NaN,NaN,NaN,NaN,NaN,0.56941,0.91091,0.87479,1.1349,1.0838,0.85346,NaN,NaN,1.2563,1.027,0.92411,NaN,NaN,0.91091,1.1431314944158026,1.1349,1.2136,NaN,1.1635,NaN,NaN,NaN,NaN,NaN,1.9861
P53275,Uncharacterized protein YGR127W,YGR127W,sp|P53275|YG37_YEAST Uncharacterized protein YGR127W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR127W PE=1 SV=1,NaN,NaN,NaN,NaN,3.0907,3.0006,NaN,NaN,6.7277,5.7128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8165,3.0296,NaN,NaN,4.7434,4.5777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99331,0.87118,NaN,NaN,0.71459,0.69606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53274,Uncharacterized protein YGR126W,Uncharacterized protein YGR126W,sp|P53274|YG36_YEAST Uncharacterized protein YGR126W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR126W PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53273,Uncharacterized vacuolar membrane protein YGR125W,Uncharacterized vacuolar membrane protein YGR125W,sp|P53273|YG35_YEAST Uncharacterized vacuolar membrane protein YGR125W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR125W PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53272,Uncharacterized protein YGR122W,Uncharacterized protein YGR122W,sp|P53272|YG34_YEAST Uncharacterized protein YGR122W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR122W PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53270,Uncharacterized protein YGR117C,Uncharacterized protein YGR117C,sp|P53270|YG32_YEAST Uncharacterized protein YGR117C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR117C PE=1 SV=1,0.96051,0.96102,1.0549,1.1804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96051,0.95121,1.0549,NaN,NaN,1.1973,NaN,NaN,NaN,1.1888,NaN,NaN,1.1777,0.95121,1.0842,1.1353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1777,0.96102,1.0842,NaN,NaN,1.3926,NaN,NaN,NaN,1.0456,NaN,NaN,1.0975,0.96646,1.0483,1.0446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0975,1.0347039711938415,1.0483,NaN,NaN,1.0834,NaN,NaN,NaN,0.87769,NaN,NaN
P53267,DASH complex subunit DAM1,DAM1,sp|P53267|DAM1_YEAST DASH complex subunit DAM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DAM1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53265,Uncharacterized protein YGR111W,Uncharacterized protein YGR111W,sp|P53265|YG2W_YEAST Uncharacterized protein YGR111W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR111W PE=1 SV=1,1.0016,0.96469,0.9183,1.177,1.3309,NaN,NaN,2.7256,NaN,NaN,NaN,NaN,1.0016,1.0874,0.9183,0.99916,1.0461,1.2614,0.7648,1.0442,1.0279,NaN,0.842,NaN,1.1429,1.0874,0.85474000000000006,1.0905,1.2531,NaN,NaN,3.0194,NaN,NaN,NaN,NaN,1.1429,0.96469,0.85474000000000006,1.1062,1.0767,1.3512,0.91094,0.98973,0.9571,NaN,0.64682,NaN,1.2688,1.1273,0.96446,0.8391,0.82992,NaN,NaN,1.0486,NaN,NaN,NaN,NaN,1.2688,0.8870753126940477,0.96446,1.048,0.9258401999814831,1.1342,1.313,1.0265570303758225,0.9996,NaN,0.7109847138286527,NaN
P53262,V0 assembly protein 1,VOA1,sp|P53262|VOA1_YEAST V0 assembly protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VOA1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53261,Pescadillo homolog,NOP7,sp|P53261|PESC_YEAST Pescadillo homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP7 PE=1 SV=1,1.0404,1.0474,0.935,0.78944,0.82783,0.75284,0.83317,0.73798,0.8408,0.59959,0.68733,0.7216,1.0404,0.91209,0.935,0.68328,0.67597,0.7108,0.40457,0.54709,0.61519,0.61835,0.52533,0.52023,1.0122,0.91209,1.0844,1.0827,0.95736,0.99061,1.0641,0.95495,0.75535,1.0651,1.0432,1.0243,1.0122,1.0474,1.0844,0.74895,0.72959,0.67556,0.99414,0.6407,0.62888,0.40902,0.6527,0.56478,0.93547,0.82693,1.1061,1.1026,1.1514,1.3253,1.1837,1.2915,0.98636,1.2061,1.3614,1.2411,0.93547,1.209292201274594,1.1061,0.96694,0.9823182711198428,0.96128,2.152,0.9399379640943697,1.0386,0.64875,0.9381743127873158,1.0865
P53258,GTPase-activating protein GYP2,MDR1,sp|P53258|GYP2_YEAST GTPase-activating protein GYP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDR1 PE=1 SV=1,NaN,NaN,1.3437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.95853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
